Ind,Site,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
CS_Pagnirtung_1022,B1,0.00436483,0.0225475,0.941042,0.0172541,1.00E-04,0.014692
CS_Pagnirtung_1025,B1,0.0378231,0.0580118,0.859906,0.0131015,0.00729827,0.0238595
CS_Pagnirtung_1549,B1,0.0209902,0.0673643,0.799681,0.0161509,0.0792184,0.0165947
CS_Pagnirtung_1553,B1,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04,1.00E-04
CS_Pagnirtung_1558,B1,0.156521,0.181235,0.439231,0.0273077,0.173858,0.0218478
CS_Pangnirtung_12,B1,0.0562984,0.0155957,0.869339,1.00E-04,0.0341972,0.0244699
CS_Pangnirtung_14,B1,0.0533392,1.00E-04,0.897824,0.00826948,0.0403676,1.00E-04
CS_Pangnirtung_15,B1,1.00E-04,0.0163369,1.00E-04,1.00E-04,0.983263,1.00E-04
CS_Pangnirtung_43,B1,1.00E-04,1.00E-04,0.9995,1.00E-04,1.00E-04,1.00E-04
CS_Pangnirtung_44,B1,0.0999293,0.0249821,0.842821,1.00E-04,0.0320675,1.00E-04
CS_Pangnirtung_45,B1,0.0566855,0.0107496,0.49392,0.00617719,0.422024,0.0104437
CS_Pangnirtung_46,B1,0.0390084,1.00E-04,0.896946,0.0213403,0.0190044,0.0236014
CS_Pangnirtung_60,B1,0.148049,0.569799,0.212765,0.0140408,0.055246,1.00E-04
EHA_Cunningham_Inlet_101,B2,1.00E-04,0.0271588,0.0189621,0.00832845,0.945351,1.00E-04
EHA_Cunningham_Inlet_103,B2,1.00E-04,1.00E-04,0.0763441,0.00751514,0.912339,0.00360219
EHA_Cunningham_Inlet_104,B2,0.0178289,0.0714379,1.00E-04,0.000502488,0.910031,1.00E-04
EHA_Cunningham_Inlet_105,B2,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.9995,1.00E-04
EHA_Cunningham_Inlet_106,B2,0.0415425,0.020955,1.00E-04,1.00E-04,0.937203,1.00E-04
EHA_Cunningham_Inlet_107,B2,1.00E-04,0.00863966,1.00E-04,1.00E-04,0.99096,1.00E-04
EHA_Cunningham_Inlet_108,B2,1.00E-04,1.00E-04,0.0173704,0.0118285,0.959884,0.0107172
EHA_Cunningham_Inlet_109,B2,0.00750585,1.00E-04,1.00E-04,1.00E-04,0.992094,1.00E-04
EHA_Cunningham_Inlet_110,B2,0.00286288,1.00E-04,1.00E-04,1.00E-04,0.980524,0.0163136
EHA_Cunningham_Inlet_111,B2,0.0290018,0.00528685,0.00336344,1.00E-04,0.959106,0.00314202
EHA_Cunningham_Inlet_63,B2,0.00376237,0.0228735,0.0574784,1.00E-04,0.915686,1.00E-04
EHA_Cunningham_Inlet_65,B2,1.00E-04,1.00E-04,0.0231799,1.00E-04,0.97642,1.00E-04
EHA_Cunningham_Inlet_94,B2,0.0444923,0.0251513,1.00E-04,0.00273277,0.923043,0.00448014
EHA_Cunningham_Inlet_95,B2,0.0154031,0.0269666,0.0534292,1.00E-04,0.904001,1.00E-04
EHA_Cunningham_Inlet_96,B2,1.00E-04,0.0108094,0.0156797,1.00E-04,0.973211,1.00E-04
EHB_Kuujjuarapik_1754,B3,0.679509,0.080353,0.116723,0.0257397,0.0363133,0.0613618
EHB_Kuujjuarapik_3812,B3,0.9995,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
EHB_Kuujjuarapik_3814,B3,0.9995,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
EHB_Kuujjuarapik_3815,B3,0.9995,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
EHB_Kuujjuarapik_3840,B3,1.00E-04,0.045917,0.0408049,1.00E-04,1.00E-04,0.912978
EHB_Kuujjuarapik_4578,B3,0.176975,0.630992,0.0831026,0.0491164,0.00244056,0.0573731
EHB_Kuujjuarapik_4582,B3,1.00E-04,0.0358318,0.0299916,0.00452402,1.00E-04,0.929453
EHB_Kuujjuarapik_4583,B3,1.00E-04,0.647048,0.21445,1.00E-04,1.00E-04,0.138202
EHB_Kuujjuarapik_4592,B3,0.145618,0.645433,0.0250097,0.0824492,0.0449988,0.056491
