Cluster 1,Cluster 2,Cluster 3,Ind,Site
1.00E-04,0.0828679,0.917032,94_RAHM_IQ_241_GF,GF
0.162282,0.0723623,0.765356,94_RAHM_IQ_243_GF,GF
0.0431222,0.131196,0.825682,94_RAHM_IQ_244_GF,GF
1.00E-04,1.00E-04,0.9998,ARGF_01_1068,GF
1.00E-04,1.00E-04,0.9998,ARGF_01_1082,GF
1.00E-04,1.00E-04,0.9998,ARGF_01_1088,GF
0.073833,0.0629381,0.863229,ARGF_07_1121,GF
1.00E-04,1.00E-04,0.9998,ARGF_07_1125,GF
1.00E-04,0.0695239,0.930376,ARGF_07_1127,GF
1.00E-04,0.158379,0.841521,ARGF_07_1131,GF
0.17935,0.390147,0.430503,ARRE_02_1094,RE
1.00E-04,0.0470245,0.952875,ARRE_02_1106,RE
0.058853,1.00E-04,0.941047,ARRE_06_1144,RE
0.255532,0.414867,0.329601,ARRE_06_1146,RE
0.239856,0.309989,0.450155,ARRE_06_1157,RE
0.0502613,0.193125,0.756614,ARRE_06_1158,RE
0.0900823,0.0955589,0.814359,ARRE_06_1159,RE
0.0635689,0.189482,0.746949,ARRE_12_1295,RE
0.216312,0.24478,0.538908,ARSB_09_1050,SB
0.0316967,0.082018,0.886285,ARSB_09_1053,SB
1.00E-04,1.00E-04,0.9998,B96_392_SB,SB
0.00055541,0.0349848,0.96446,B96_394_SB,SB
1.00E-04,0.18699,0.81291,B96_398_SB,SB
0.425858,0.445219,0.128923,ARPB_xx_1091,PB
0.115589,0.0310619,0.853349,ARPB_xx_1095,PB
0.229987,0.573405,0.196608,ARPB_xx_1100,PB
0.242005,0.489499,0.268496,ARIG_06_1222,IG
0.727317,0.166131,0.106552,IMM_82_M1,IG
0.380796,0.489052,0.130152,ARAB_04_03,AB
0.649975,0.241959,0.108067,ARAB_04_04,AB
1.00E-04,0.9998,1.00E-04,ARAB_08_1163,AB
1.00E-04,0.842989,0.156911,ARAB_08_1164,AB
0.180836,0.568736,0.250428,ARAB_10_1221,AB
0.0843264,0.763892,0.151782,ARAB_10_1223,AB
1.00E-04,0.87766,0.12224,ARAB_99_1005,AB
1.00E-04,0.9998,1.00E-04,ARAB_99_1006,AB
0.108104,0.855251,0.0366447,MM_AB_87_005,AB
0.533284,0.16042,0.306296,ARPI_04_1184,PI
0.619637,0.380263,1.00E-04,ARPI_08_0082,PI
1.00E-04,0.9998,1.00E-04,ARPI_17_1336,PI
0.54352,0.291576,0.164904,PI_92_009_MM,PI
0.267357,0.263785,0.468857,ARCR_07_1065,CR
0.334822,0.117753,0.547426,ARCR_07_1070,CR
1.00E-04,0.9998,1.00E-04,94_RAHM_IQ_152,BI
0.0354221,0.865884,0.098694,ARBI_05_1092,BI
0.279094,0.663088,0.0578177,ARBI_05_1093,BI
0.546745,0.412521,0.040734,ARIQ_DFO_11_1071,BI
1.00E-04,0.9998,1.00E-04,ARPG_19_1614,PG
0.9998,1.00E-04,1.00E-04,ARRB_16_1379,RB
0.9998,1.00E-04,1.00E-04,ARRB_99_1001,RB
0.9998,1.00E-04,1.00E-04,ARRB_99_1026,RB
0.9998,1.00E-04,1.00E-04,ARRB_xx_1421,RB
0.952847,0.0470528,1.00E-04,ARRB_xx_1457,RB
0.9998,1.00E-04,1.00E-04,FMMM_RB_005_93,RB
0.9998,1.00E-04,1.00E-04,FMMM_RB_011_93,RB
0.9998,1.00E-04,1.00E-04,RBMM01,RB
0.940896,1.00E-04,0.0590036,RBMM02,RB
